,exit_1,exit_2,exit_3,exit_4,exit_5,exit_6,exit_7,enter_1,enter_2,enter_3,enter_4,enter_5,enter_6
1478,2018-12-21,,,,,,,2019-07-22,,,,,
1479,2020-05-18,,,,,,,2020-07-22,,,,,
1480,2018-04-21,2018-02-05,,,,,,2018-07-23,2018-03-14,,,,
1481,2019-04-10,,,,,,,2019-07-23,,,,,
1482,2019-05-28,,,,,,,2019-07-23,,,,,
1483,2018-07-12,,,,,,,2019-07-23,,,,,
1484,2020-04-08,,,,,,,2020-07-23,,,,,
1485,2020-06-02,2020-06-02,2018-12-07,,,,,2020-07-23,2019-09-24,,,,
1486,2020-07-20,2019-01-04,,,,,,2020-07-23,2019-03-05,,,,
1487,2020-07-21,,,,,,,2020-07-23,,,,,
1488,2019-10-21,2019-10-21,,,,,,2020-07-23,2019-11-21,,,,
1489,2018-06-11,,,,,,,2018-07-24,,,,,
1490,2019-01-29,2018-12-30,,,,,,2019-07-24,2019-01-11,,,,
1491,2018-04-03,,,,,,,2019-07-24,,,,,
1492,2018-07-06,,,,,,,2019-07-24,,,,,
1493,2019-07-18,2020-11-10,,,,,,2019-07-24,,,,,
1494,2020-01-31,,,,,,,2020-07-24,,,,,
1495,2020-02-06,,,,,,,2020-07-24,,,,,
1496,2020-03-16,2018-02-02,,,,,,2020-07-24,2019-09-13,,,,
1497,2020-07-21,2020-01-31,,,,,,2020-07-24,2020-07-06,,,,
1498,2019-09-11,,,,,,,2020-07-24,,,,,
1499,2018-01-22,,,,,,,2018-07-25,,,,,
1500,2019-01-29,,,,,,,2019-07-25,,,,,
1501,2019-02-05,2017-10-30,,,,,,2019-07-25,2019-01-17,,,,
1502,2019-07-15,,,,,,,2019-07-25,,,,,
1503,2018-07-23,,,,,,,2018-07-27,,,,,
1504,2017-12-27,,,,,,,2018-07-27,,,,,
1505,2020-03-10,2019-03-15,,,,,,2020-07-27,2019-03-27,,,,
1506,2020-03-18,2019-12-23,2019-10-20,2019-10-10,2018-11-27,2017-12-08,,2020-07-27,2020-02-28,2019-11-07,2019-10-17,2019-05-28,2018-03-02
1507,2019-12-23,2019-06-18,2018-11-27,2017-12-08,,,,2020-07-27,2019-11-07,2019-05-28,2018-03-02,,
1508,2020-03-23,2018-11-08,,,,,,2020-07-28,2018-11-19,,,,
1509,2020-03-18,,,,,,,2020-07-28,,,,,
1510,2020-07-17,,,,,,,2020-07-28,,,,,
1511,2020-07-21,,,,,,,2020-07-28,,,,,
1512,2020-07-28,,,,,,,2020-07-28,,,,,
1513,2019-07-29,,,,,,,2020-07-28,,,,,
1514,2019-07-29,2019-07-29,2019-07-29,,,,,2020-07-28,2019-10-14,2019-09-09,,,
1515,2019-06-07,2019-06-07,,,,,,2019-07-29,2019-06-10,,,,
1516,2020-03-16,2017-11-30,,,,,,2020-07-29,2019-09-16,,,,
1517,2019-10-10,2019-02-12,,,,,,2020-07-29,2019-03-01,,,,
1518,2018-06-14,2018-05-31,,,,,,2018-07-30,2018-06-14,,,,
1519,2018-07-26,2018-05-21,2017-11-13,,,,,2018-07-30,2018-07-16,2018-05-01,,,
1520,2019-03-13,2018-03-14,,,,,,2019-07-30,2018-06-27,,,,
1521,2019-05-23,2018-07-31,,,,,,2019-07-30,2018-12-03,,,,
1522,2019-07-05,,,,,,,2019-07-30,,,,,
1523,2019-07-25,,,,,,,2019-07-30,,,,,
1524,2019-07-29,,,,,,,2019-07-30,,,,,
1525,2020-07-30,,,,,,,2020-07-30,,,,,
1526,2019-12-05,,,,,,,2020-07-30,,,,,
1527,2018-05-07,,,,,,,2018-07-31,,,,,
1528,2019-06-04,,,,,,,2019-07-31,,,,,
1529,2019-07-24,2019-05-23,,,,,,2019-07-31,2019-07-17,,,,
1530,2019-07-29,,,,,,,2019-07-31,,,,,
1531,2020-07-27,,,,,,,2020-07-31,,,,,
1532,2018-01-23,,,,,,,2018-08-01,,,,,
1533,2018-06-18,2018-02-08,,,,,,2018-08-01,2018-05-25,,,,
1534,2019-01-19,,,,,,,2019-08-01,,,,,
1535,2019-07-22,,,,,,,2019-08-01,,,,,
1536,2019-07-29,2019-05-20,,,,,,2019-08-01,2019-06-20,,,,
1537,2019-07-31,2018-07-31,,,,,,2019-08-01,2019-07-25,,,,
1538,2018-12-20,,,,,,,2019-08-01,,,,,
1539,2018-04-30,,,,,,,2018-08-02,,,,,
1540,2019-01-10,,,,,,,2019-08-02,,,,,
1541,2018-11-05,,,,,,,2019-08-02,,,,,
1542,2018-02-02,,,,,,,2018-08-03,,,,,
1543,2020-07-02,,,,,,,2020-08-03,,,,,
1544,2020-07-07,,,,,,,2020-08-03,,,,,
1545,2020-06-16,,,,,,,2020-08-04,,,,,
1546,2020-08-03,,,,,,,2020-08-04,,,,,
1547,2019-07-31,,,,,,,2019-08-05,,,,,
1548,2020-02-25,,,,,,,2020-08-05,,,,,
1549,2020-04-20,,,,,,,2020-08-05,,,,,
1550,2020-06-29,,,,,,,2020-08-05,,,,,
1551,2020-07-22,,,,,,,2020-08-05,,,,,
1552,2019-10-01,,,,,,,2020-08-05,,,,,
1553,2019-10-23,,,,,,,2020-08-05,,,,,
1555,2018-07-23,,,,,,,2018-08-06,,,,,
1556,2018-08-14,,,,,,,2019-08-06,,,,,
1557,2020-04-08,,,,,,,2020-08-06,,,,,
1558,2020-05-06,2018-06-12,,,,,,2020-08-06,2018-10-25,,,,
1559,2018-01-09,,,,,,,2018-08-07,,,,,
1560,2018-01-09,,,,,,,2018-08-07,,,,,
1561,2018-07-17,,,,,,,2018-08-07,,,,,
1562,2017-08-24,,,,,,,2018-08-07,,,,,
1563,2017-09-22,,,,,,,2018-08-07,,,,,
1564,2019-03-08,,,,,,,2019-08-07,,,,,
1565,2019-08-02,,,,,,,2019-08-07,,,,,
1566,2018-07-10,,,,,,,2018-08-08,,,,,
1567,2019-02-12,,,,,,,2019-08-08,,,,,
1568,2018-05-01,2018-04-16,,,,,,2019-08-08,2018-04-26,,,,
1569,2019-05-10,2018-11-24,,,,,,2019-08-08,2019-04-15,,,,
1570,2019-05-27,2019-05-27,2017-12-05,,,,,2019-08-08,2019-06-07,2018-10-03,,,
1571,2018-01-29,,,,,,,2018-08-09,,,,,
1572,2018-06-25,2017-09-14,,,,,,2018-08-09,2018-04-30,,,,
1573,2019-06-26,,,,,,,2019-08-09,,,,,
1574,2019-07-26,,,,,,,2019-08-09,,,,,
1575,2019-07-26,,,,,,,2019-08-09,,,,,
1576,2018-06-08,,,,,,,2018-08-10,,,,,
1577,2020-06-18,2019-11-15,,,,,,2020-08-10,2020-03-27,,,,
1578,2020-07-16,,,,,,,2020-08-10,,,,,
1579,2020-08-10,2020-08-10,,,,,,2020-08-10,2020-08-10,,,,
1580,2019-11-01,,,,,,,2020-08-10,,,,,
1582,2020-01-14,,,,,,,2020-08-11,,,,,
1583,2020-08-11,,,,,,,2020-08-11,,,,,
1584,2019-09-06,,,,,,,2020-08-11,,,,,
1585,2018-10-08,,,,,,,2020-08-11,,,,,
1586,2019-11-04,,,,,,,2020-08-11,,,,,
1587,2019-08-12,,,,,,,2019-08-12,,,,,
1588,2018-08-21,,,,,,,2019-08-12,,,,,
1589,2019-01-14,,,,,,,2020-08-12,,,,,
1590,2018-07-17,2018-07-17,,,,,,2020-08-12,2018-08-17,,,,
1591,2020-07-24,2019-09-12,2018-10-25,,,,,2020-08-12,2020-06-12,2019-08-29,,,
1592,2020-08-08,,,,,,,2020-08-12,,,,,
1593,2018-08-06,,,,,,,2018-08-13,,,,,
1594,2019-02-11,,,,,,,2019-08-13,,,,,
1595,2019-05-06,,,,,,,2019-08-13,,,,,
1596,2018-05-16,,,,,,,2019-08-13,,,,,
1597,2018-09-25,2018-07-12,2018-06-21,,,,,2019-08-13,2018-09-04,2018-06-26,,,
1598,2018-12-13,,,,,,,2019-08-13,,,,,
1599,2020-06-03,2020-03-17,,,,,,2020-08-13,2020-04-22,,,,
1600,2020-07-16,,,,,,,2020-08-13,,,,,
1601,2020-07-31,,,,,,,2020-08-13,,,,,
1602,2020-08-05,,,,,,,2020-08-13,,,,,
1603,2020-08-05,,,,,,,2020-08-13,,,,,
1604,2019-10-11,,,,,,,2020-08-13,,,,,
1605,2018-06-29,2018-06-11,,,,,,2018-08-14,2018-06-11,,,,
1606,2018-08-13,,,,,,,2018-08-14,,,,,
1607,2019-01-08,,,,,,,2019-08-14,,,,,
1608,2018-02-14,,,,,,,2019-08-14,,,,,
1609,2018-06-26,,,,,,,2019-08-14,,,,,
1610,2018-07-10,,,,,,,2018-08-15,,,,,
1611,2019-01-02,,,,,,,2019-08-15,,,,,
1612,2019-07-01,,,,,,,2019-08-15,,,,,
1613,2019-08-06,2019-03-29,,,,,,2019-08-15,2019-06-11,,,,
1614,2017-12-29,,,,,,,2018-08-16,,,,,
1615,2019-02-14,,,,,,,2019-08-16,,,,,
1616,2019-05-09,,,,,,,2019-08-16,,,,,
1617,2019-06-06,2018-04-18,,,,,,2019-08-16,2018-04-24,,,,
1618,2019-07-19,,,,,,,2019-08-16,,,,,
1619,2018-07-23,,,,,,,2019-08-16,,,,,
1620,2019-07-28,,,,,,,2019-08-16,,,,,
1621,2019-08-15,,,,,,,2019-08-16,,,,,
1622,2018-12-21,,,,,,,2019-08-16,,,,,
1623,2019-02-19,,,,,,,2020-08-17,,,,,
1624,2020-06-25,2018-08-27,,,,,,2020-08-17,2020-06-15,,,,
1625,2017-08-10,,,,,,,2017-08-18,,,,,
1626,2020-07-02,2020-05-14,,,,,,2020-08-18,2020-06-08,,,,
1627,2020-07-22,,,,,,,2020-08-18,,,,,
1628,2020-08-16,,,,,,,2020-08-18,,,,,
1629,2019-12-16,,,,,,,2020-08-18,,,,,
1630,2019-02-01,2019-02-01,,,,,,2019-08-19,2019-03-04,,,,
1631,2018-03-21,,,,,,,2019-08-19,,,,,
1632,2018-06-19,,,,,,,2019-08-19,,,,,
1633,2020-04-03,2019-12-12,,,,,,2020-08-19,2020-03-11,,,,
1634,2020-08-11,,,,,,,2020-08-19,,,,,
1635,2018-10-04,,,,,,,2020-08-19,,,,,
1636,2019-12-30,,,,,,,2020-08-19,,,,,
1637,2017-12-20,,,,,,,2018-08-20,,,,,
1639,2020-02-20,2019-08-09,,,,,,2020-08-20,2020-01-28,,,,
1640,2020-07-06,2019-06-11,,,,,,2020-08-20,2019-10-17,,,,
1641,2019-11-29,2019-06-05,2019-03-26,2018-06-21,,,,2020-08-20,2019-08-14,2019-04-01,2019-03-11,,
1642,2019-01-04,,,,,,,2019-08-21,,,,,
1643,2019-02-11,,,,,,,2019-08-21,,,,,
1644,2019-03-18,,,,,,,2019-08-21,,,,,
1645,2019-06-21,2019-02-01,2018-11-15,,,,,2019-08-21,2019-06-14,2019-01-30,,,
1646,2018-07-23,2018-07-18,2018-04-23,2018-03-21,,,,2019-08-21,2018-07-22,2018-06-29,2018-04-10,,
1647,2019-07-25,,,,,,,2019-08-21,,,,,
1648,2018-07-10,,,,,,,2018-08-22,,,,,
1649,2019-04-03,,,,,,,2019-08-22,,,,,
1650,2019-01-28,,,,,,,2019-08-23,,,,,
1651,2019-01-28,,,,,,,2019-08-23,,,,,
1652,2019-03-26,,,,,,,2019-08-23,,,,,
1653,2019-06-04,,,,,,,2019-08-23,,,,,
1654,2019-07-17,,,,,,,2019-08-23,,,,,
1655,2020-02-13,,,,,,,2020-08-24,,,,,
1656,2020-03-20,2018-07-17,,,,,,2020-08-24,2019-02-12,,,,
1657,2020-03-30,2019-08-05,,,,,,2020-08-24,2020-03-05,,,,
1658,2019-06-14,,,,,,,2020-08-24,,,,,
1659,2020-08-24,,,,,,,2020-08-24,,,,,
1660,2019-09-06,,,,,,,2020-08-24,,,,,
1661,2019-09-17,,,,,,,2020-08-25,,,,,
1662,2019-09-17,2019-07-16,2019-05-13,,,,,2020-08-25,2019-08-06,2019-07-05,,,
1663,2019-11-15,2019-01-24,,,,,,2020-08-25,2019-04-26,,,,
1664,2019-05-08,,,,,,,2019-08-26,,,,,
1665,2020-08-06,,,,,,,2020-08-26,,,,,
1666,2018-05-25,,,,,,,2018-08-27,,,,,
1667,2018-07-09,,,,,,,2018-08-27,,,,,
1668,2019-03-06,,,,,,,2019-08-27,,,,,
1669,2018-05-10,,,,,,,2019-08-27,,,,,
1670,2019-05-29,2019-03-31,2018-10-09,,,,,2019-08-27,2019-04-25,2019-02-13,,,
1671,2018-06-27,,,,,,,2019-08-27,,,,,
1672,2019-08-20,,,,,,,2019-08-27,,,,,
1673,2019-08-20,,,,,,,2019-08-27,,,,,
1674,2020-06-02,,,,,,,2020-08-27,,,,,
1675,2019-11-26,2018-09-28,2018-03-28,,,,,2020-08-27,2019-05-09,2018-06-01,,,
1676,2019-02-25,,,,,,,2019-08-28,,,,,
1677,2019-06-18,,,,,,,2019-08-28,,,,,
1678,2019-07-03,,,,,,,2019-08-28,,,,,
1679,2020-08-25,,,,,,,2020-08-28,,,,,
1680,2020-08-28,2019-05-07,,,,,,2020-08-28,2019-10-31,,,,
1681,2019-08-30,,,,,,,2020-08-28,,,,,
1682,2019-01-25,,,,,,,2019-08-29,,,,,
1683,2018-11-06,,,,,,,2019-08-29,,,,,
1684,2018-05-01,,,,,,,2018-08-30,,,,,
1685,2018-07-18,2017-10-17,,,,,,2018-08-30,2018-07-03,,,,
1686,2017-11-27,,,,,,,2018-08-30,,,,,
1687,2019-04-08,,,,,,,2019-08-30,,,,,
1688,2019-08-22,,,,,,,2019-08-30,,,,,
1689,2019-08-30,2019-02-05,,,,,,2019-08-30,2019-08-26,,,,
1690,2020-04-15,,,,,,,2020-08-31,,,,,
1691,2020-06-02,,,,,,,2020-08-31,,,,,
1692,2020-05-07,,,,,,,2020-09-01,,,,,
1693,2020-05-26,,,,,,,2020-09-01,,,,,
1694,2019-10-25,,,,,,,2020-09-01,,,,,
1695,2020-03-29,2020-01-06,,,,,,2020-09-02,2020-01-14,,,,
1696,2020-04-24,2019-08-09,,,,,,2020-09-02,2019-08-16,,,,
1697,2020-07-13,,,,,,,2020-09-02,,,,,
1698,2020-07-15,2019-08-21,,,,,,2020-09-02,2020-01-07,,,,
1699,2019-10-28,,,,,,,2020-09-02,,,,,
1700,2019-11-04,,,,,,,2020-09-02,,,,,
1701,2019-07-09,,,,,,,2019-09-03,,,,,
1702,2019-07-31,,,,,,,2019-09-03,,,,,
1703,2019-08-21,2021-02-19,,,,,,2019-09-03,,,,,
1704,2019-01-24,,,,,,,2020-09-03,,,,,
1705,2020-07-20,2019-02-26,,,,,,2020-09-03,2020-07-02,,,,
1706,2018-04-05,,,,,,,2018-09-04,,,,,
1707,2018-04-18,,,,,,,2018-09-04,,,,,
1708,2017-08-25,,,,,,,2018-09-04,,,,,
1709,2018-01-19,2017-10-19,2017-09-08,,,,,2019-09-04,2017-12-06,2017-09-20,,,
1710,2019-07-10,,,,,,,2019-09-04,,,,,
1711,2019-07-19,,,,,,,2019-09-04,,,,,
1712,2019-08-28,,,,,,,2019-09-04,,,,,
1713,2019-02-07,,,,,,,2020-09-04,,,,,
1714,2020-07-06,2019-12-09,,,,,,2020-09-04,2020-03-16,,,,
1715,2020-08-20,2020-08-20,2020-04-24,2019-04-25,2019-01-09,,,2020-09-04,2020-09-03,2020-06-11,2019-10-29,2019-03-21,
1716,2017-12-14,,,,,,,2018-09-05,,,,,
1717,2019-04-15,,,,,,,2019-09-05,,,,,
1718,2019-08-14,2018-10-02,,,,,,2019-09-05,2019-04-05,,,,
1719,2019-08-30,,,,,,,2019-09-05,,,,,
1720,2019-08-30,2019-08-30,2018-03-01,,,,,2019-09-05,2019-09-04,2019-08-20,,,
1721,2017-10-09,2017-10-09,,,,,,2019-09-06,2017-11-09,,,,
1722,2018-11-19,2018-07-25,,,,,,2019-09-06,2018-10-31,,,,
1723,2018-07-30,,,,,,,2018-09-07,,,,,
1724,2020-01-08,,,,,,,2020-09-08,,,,,
1725,2020-04-29,,,,,,,2020-09-08,,,,,
1726,2018-04-05,,,,,,,2019-09-09,,,,,
1727,2018-04-24,,,,,,,2019-09-09,,,,,
1728,2019-01-17,,,,,,,2020-09-09,,,,,
1729,2020-08-19,,,,,,,2020-09-09,,,,,
1730,2019-09-28,2019-07-25,2018-03-21,,,,,2020-09-09,2019-09-05,2018-10-11,,,
1731,2019-12-09,,,,,,,2020-09-09,,,,,
1732,2018-07-11,,,,,,,2018-09-10,,,,,
1733,2018-07-12,,,,,,,2018-09-10,,,,,
1734,2018-05-09,,,,,,,2019-09-10,,,,,
1735,2018-08-01,,,,,,,2019-09-10,,,,,
1736,2017-08-08,,,,,,,2019-09-10,,,,,
1737,2019-08-30,,,,,,,2019-09-10,,,,,
1738,2020-01-23,,,,,,,2020-09-10,,,,,
1739,2018-03-09,,,,,,,2018-09-11,,,,,
1740,2018-07-30,2018-04-16,,,,,,2018-09-11,2018-04-17,,,,
1741,2018-08-13,,,,,,,2018-09-11,,,,,
1742,2018-08-31,,,,,,,2018-09-11,,,,,
1743,2019-01-07,2018-02-28,,,,,,2019-09-11,2018-08-31,,,,
1744,2019-05-21,,,,,,,2019-09-11,,,,,
1745,2019-08-12,,,,,,,2019-09-11,,,,,
1746,2019-03-06,,,,,,,2020-09-11,,,,,
1747,2020-08-18,,,,,,,2020-09-11,,,,,
1748,2018-07-12,,,,,,,2018-09-12,,,,,
1749,2019-04-10,,,,,,,2019-09-12,,,,,
1750,2018-08-13,,,,,,,2019-09-12,,,,,
1751,2019-09-05,,,,,,,2019-09-12,,,,,
1752,2019-09-10,,,,,,,2019-09-12,,,,,
1753,2018-10-31,,,,,,,2019-09-12,,,,,
1754,2017-12-29,,,,,,,2019-09-12,,,,,
1755,2018-08-05,,,,,,,2018-09-13,,,,,
1756,2019-04-02,,,,,,,2019-09-13,,,,,
1757,2018-05-31,,,,,,,2019-09-13,,,,,
1758,2018-02-28,2018-02-28,,,,,,2018-09-14,2018-03-14,,,,
1759,2018-09-06,2018-05-03,,,,,,2018-09-14,2018-06-12,,,,
1760,2020-07-06,,,,,,,2020-09-14,,,,,
1761,2020-08-11,,,,,,,2020-09-14,,,,,
1762,2020-08-15,2018-10-31,2018-07-13,,,,,2020-09-14,2019-02-13,2018-10-03,,,
1763,2020-02-19,2019-05-03,,,,,,2020-09-15,2019-09-09,,,,
1764,2020-02-19,2019-05-03,,,,,,2020-09-15,2019-09-09,,,,
1765,2019-05-15,2018-08-24,,,,,,2020-09-15,2019-05-15,,,,
1766,2020-06-20,,,,,,,2020-09-15,,,,,
1767,2019-03-06,2017-10-03,,,,,,2019-09-16,2017-10-03,,,,
1768,2018-04-26,,,,,,,2019-09-16,,,,,
1769,2019-06-17,,,,,,,2019-09-16,,,,,
1770,2019-08-19,2019-04-04,2019-02-25,,,,,2019-09-16,2019-07-31,2019-03-21,,,
1771,2020-07-06,2017-08-04,,,,,,2020-09-16,2019-01-23,,,,
1772,2020-07-29,2019-09-23,,,,,,2020-09-16,2019-11-19,,,,
1773,2017-12-28,2017-10-27,,,,,,2018-09-17,2017-11-28,,,,
1774,2019-02-25,,,,,,,2019-09-17,,,,,
1775,2019-03-13,,,,,,,2019-09-17,,,,,
1776,2019-06-14,,,,,,,2019-09-17,,,,,
1777,2019-08-21,2019-05-23,,,,,,2019-09-17,2019-06-13,,,,
1778,2019-09-03,2019-05-13,2019-01-02,,,,,2019-09-17,2019-07-15,2019-03-26,,,
1779,2019-09-10,,,,,,,2019-09-17,,,,,
1780,2018-11-01,,,,,,,2019-09-17,,,,,
1781,2020-07-07,,,,,,,2020-09-17,,,,,
1782,2018-08-09,,,,,,,2018-09-18,,,,,
1783,2018-08-27,,,,,,,2019-09-18,,,,,
1784,2019-09-05,,,,,,,2019-09-18,,,,,
1785,2019-09-08,2019-09-08,,,,,,2019-09-18,2019-09-06,,,,
1786,2018-10-19,,,,,,,2019-09-18,,,,,
1787,2020-01-14,2019-07-31,,,,,,2020-09-18,2019-12-10,,,,
1788,2020-08-26,,,,,,,2020-09-18,,,,,
1790,2018-03-21,,,,,,,2018-09-19,,,,,
1791,2018-09-07,,,,,,,2018-09-19,,,,,
1792,2019-05-30,,,,,,,2019-09-19,,,,,
1793,2019-01-09,,,,,,,2019-09-20,,,,,
1794,2018-07-24,,,,,,,2019-09-20,,,,,
1795,2019-08-09,,,,,,,2019-09-20,,,,,
1796,2018-09-11,,,,,,,2018-09-21,,,,,
1797,2019-07-17,,,,,,,2020-09-21,,,,,
1798,2020-09-16,,,,,,,2020-09-21,,,,,
1799,2020-09-21,2020-09-21,,,,,,2020-09-21,,,,,
1800,2019-11-12,2019-11-12,2019-11-12,,,,,2020-09-21,2020-07-20,2019-11-12,,,
1801,2020-05-15,,,,,,,2020-09-22,,,,,
1802,2020-06-30,,,,,,,2020-09-22,,,,,
1803,2020-08-10,2019-08-01,,,,,,2020-09-22,2019-11-07,,,,
1804,2020-09-22,2018-10-10,,,,,,2020-09-22,2019-07-25,,,,
1805,2019-09-12,,,,,,,2019-09-23,,,,,
1806,2018-11-20,,,,,,,2019-09-23,,,,,
1807,2018-09-04,,,,,,,2020-09-23,,,,,
1808,2018-09-05,,,,,,,2018-09-24,,,,,
1809,2018-06-18,,,,,,,2018-09-25,,,,,
1810,2018-06-18,,,,,,,2018-09-25,,,,,
1811,2018-08-28,,,,,,,2018-09-25,,,,,
1812,2018-09-14,,,,,,,2018-09-25,,,,,
1813,2019-05-13,,,,,,,2019-09-25,,,,,
1814,2019-09-09,,,,,,,2019-09-25,,,,,
1815,2019-09-10,,,,,,,2019-09-25,,,,,
1816,2019-09-24,,,,,,,2019-09-25,,,,,
1817,2020-01-28,,,,,,,2020-09-25,,,,,
1818,2020-03-30,,,,,,,2020-09-25,,,,,
1819,2019-07-29,,,,,,,2020-09-25,,,,,
1820,2019-08-30,,,,,,,2019-09-26,,,,,
1821,2019-09-03,2019-04-01,2019-02-01,,,,,2019-09-26,2019-08-15,2019-03-18,,,
1822,2019-09-03,,,,,,,2019-09-26,,,,,
1823,2019-09-03,2019-06-18,,,,,,2019-09-26,2019-07-25,,,,
1824,2019-09-20,,,,,,,2019-09-26,,,,,
1825,2019-09-23,,,,,,,2019-09-26,,,,,
1826,2018-02-22,,,,,,,2018-09-27,,,,,
1827,2018-04-27,,,,,,,2018-09-27,,,,,
1828,2018-07-12,,,,,,,2018-09-27,,,,,
1829,2018-12-04,,,,,,,2019-09-27,,,,,
1830,2017-12-15,2017-10-04,,,,,,2019-09-27,2017-12-05,,,,
1831,2018-09-28,,,,,,,2018-09-28,,,,,
1832,2020-08-17,,,,,,,2020-09-28,,,,,
1833,2020-08-17,2019-04-11,,,,,,2020-09-28,2019-07-29,,,,
1834,2020-09-02,2019-12-20,,,,,,2020-09-28,2020-08-05,,,,
1835,2019-10-04,,,,,,,2020-09-29,,,,,
1836,2018-05-17,,,,,,,2019-09-30,,,,,
1837,2019-06-17,2018-12-31,,,,,,2019-09-30,2019-01-18,,,,
1838,2019-08-30,2019-03-25,2019-03-25,,,,,2019-09-30,2019-08-09,2019-05-08,,,
1839,2020-08-24,2018-08-10,,,,,,2020-09-30,2018-10-19,,,,
1840,2020-09-29,2019-02-25,,,,,,2020-09-30,2019-03-11,,,,
1841,2020-09-30,,,,,,,2020-09-30,,,,,
1842,2018-07-31,,,,,,,2018-10-01,,,,,
1843,2019-04-25,2018-04-30,,,,,,2019-10-01,2019-03-20,,,,
1844,2019-08-06,,,,,,,2019-10-01,,,,,
1845,2020-01-29,,,,,,,2020-10-01,,,,,
1846,2020-09-06,,,,,,,2020-10-01,,,,,
1847,2020-09-25,,,,,,,2020-10-01,,,,,
1848,2018-01-19,,,,,,,2018-10-02,,,,,
1849,2018-05-31,,,,,,,2018-10-02,,,,,
1850,2018-09-26,,,,,,,2018-10-02,,,,,
1851,2019-01-08,,,,,,,2019-10-02,,,,,
1852,2019-08-09,,,,,,,2019-10-02,,,,,
1853,2020-03-16,,,,,,,2020-10-02,,,,,
1854,2020-04-21,2020-04-17,2020-04-17,2020-10-27,,,,2020-10-02,2020-05-13,,,,
1855,2020-09-28,2018-11-27,,,,,,2020-10-02,2019-11-13,,,,
1856,2018-06-15,,,,,,,2018-10-03,,,,,
1857,2018-10-01,2018-09-19,2017-07-20,,,,,2018-10-03,2018-09-24,2018-08-17,,,
1858,2019-03-01,,,,,,,2019-10-03,,,,,
1859,2019-05-13,,,,,,,2019-10-03,,,,,
1860,2018-09-24,,,,,,,2018-10-04,,,,,
1861,2018-09-25,2018-02-05,,,,,,2018-10-04,2018-09-18,,,,
1862,2018-10-02,,,,,,,2018-10-04,,,,,
1864,2019-03-07,2018-01-26,,,,,,2019-10-04,2018-02-12,,,,
1865,2019-04-05,2019-02-08,2018-12-27,,,,,2019-10-04,2019-03-19,2018-12-28,,,
1866,2019-04-08,,,,,,,2019-10-04,,,,,
1867,2018-12-05,,,,,,,2019-10-04,,,,,
1868,2019-09-10,2018-04-28,,,,,,2020-10-05,2018-10-01,,,,
1869,2020-09-14,,,,,,,2020-10-05,,,,,
1870,2020-10-05,,,,,,,2020-10-05,,,,,
1871,2020-10-05,2019-03-01,,,,,,2020-10-05,2019-08-19,,,,
1872,2019-03-14,,,,,,,2019-10-07,,,,,
1873,2019-03-29,,,,,,,2019-10-07,,,,,
1874,2018-05-09,,,,,,,2019-10-07,,,,,
1875,2019-07-08,,,,,,,2019-10-07,,,,,
1876,2019-08-30,,,,,,,2019-10-07,,,,,
1877,2020-09-25,,,,,,,2020-10-07,,,,,
1878,2018-10-03,,,,,,,2018-10-08,,,,,
1879,2018-12-04,,,,,,,2019-10-08,,,,,
1880,2019-02-15,,,,,,,2020-10-08,,,,,
1881,2020-07-14,,,,,,,2020-10-08,,,,,
1882,2020-07-16,,,,,,,2020-10-08,,,,,
1883,2019-07-30,2018-11-29,2018-10-31,,,,,2020-10-08,2019-04-24,2018-11-29,,,
1884,2018-10-08,,,,,,,2018-10-09,,,,,
1885,2019-04-30,,,,,,,2019-10-09,,,,,
1886,2018-11-15,,,,,,,2019-10-09,,,,,
1887,2017-09-13,,,,,,,2017-10-10,,,,,
1888,2019-05-03,,,,,,,2019-10-10,,,,,
1889,2019-06-04,,,,,,,2019-10-10,,,,,
1890,2019-09-11,,,,,,,2019-10-10,,,,,
1891,2018-12-21,,,,,,,2019-10-10,,,,,
1892,2018-09-20,,,,,,,2018-10-11,,,,,
1893,2019-04-17,,,,,,,2019-10-11,,,,,
1894,2018-07-16,2018-01-22,,,,,,2018-10-12,2018-06-22,,,,
1895,2019-02-25,,,,,,,2020-10-13,,,,,
1896,2020-03-14,,,,,,,2020-10-13,,,,,
1897,2019-09-13,2018-11-19,2018-06-29,2018-04-10,2018-03-16,,,2020-10-13,2019-05-29,2018-09-14,2018-06-22,2018-04-05,
1898,2019-09-25,,,,,,,2019-10-14,,,,,
1899,2019-10-08,,,,,,,2019-10-14,,,,,
1900,2018-09-12,2017-10-22,,,,,,2018-10-15,2018-07-30,,,,
1901,2019-06-28,2018-10-09,2018-04-09,2018-02-05,,,,2019-10-15,2018-10-16,2018-09-21,2018-02-28,,
1902,2019-06-28,2018-10-09,2018-04-09,2018-01-31,,,,2019-10-15,2018-10-16,2018-09-21,2018-02-28,,
1903,2019-10-09,2018-06-26,,,,,,2019-10-15,2019-09-26,,,,
1905,2018-07-18,,,,,,,2018-10-16,,,,,
1906,2019-08-13,,,,,,,2019-10-16,,,,,
1907,2019-10-15,2019-08-28,,,,,,2019-10-16,2019-09-25,,,,
1908,2018-12-14,2018-08-24,2018-05-25,,,,,2020-10-16,2018-10-04,2018-07-05,,,
1909,2018-08-06,2017-10-09,,,,,,2018-10-17,2017-10-17,,,,
1910,2018-09-17,,,,,,,2018-10-17,,,,,
1911,2019-10-14,,,,,,,2019-10-17,,,,,
