,exit_1,exit_2,exit_3,exit_4,exit_5,exit_6,exit_7,enter_1,enter_2,enter_3,enter_4,enter_5,enter_6
1155,2020-03-30,2020-01-22,,,,,,2020-04-30,2020-02-06,,,,
1156,2020-04-27,,,,,,,2020-04-30,,,,,
1157,2018-04-02,,,,,,,2018-05-01,,,,,
1158,2018-12-17,,,,,,,2019-05-01,,,,,
1159,2019-01-09,,,,,,,2020-05-01,,,,,
1160,2019-03-04,2018-05-24,,,,,,2019-05-02,2018-06-05,,,,
1161,2019-04-10,,,,,,,2019-05-02,,,,,
1162,2019-05-02,,,,,,,2019-05-02,,,,,
1163,2018-03-22,,,,,,,2018-05-03,,,,,
1164,2019-03-05,,,,,,,2019-05-03,,,,,
1165,2019-04-09,,,,,,,2019-05-03,,,,,
1166,2021-05-03,,,,,,,2021-05-03,,,,,
1167,2021-05-03,,,,,,,2021-05-03,,,,,
1168,2021-05-03,,,,,,,2021-05-03,,,,,
1169,2020-07-06,,,,,,,2021-05-03,,,,,
1170,2020-12-15,,,,,,,2021-05-03,,,,,
1171,2018-03-27,,,,,,,2018-05-04,,,,,
1172,2019-04-05,,,,,,,2020-05-04,,,,,
1173,2018-10-12,,,,,,,2020-05-04,,,,,
1175,2020-04-08,,,,,,,2020-05-05,,,,,
1176,2020-04-16,,,,,,,2020-05-05,,,,,
1177,2019-10-22,,,,,,,2020-05-05,,,,,
1178,2021-05-04,2020-04-20,,,,,,2021-05-05,2020-06-22,,,,
1179,2021-05-05,,,,,,,2021-05-05,,,,,
1180,2018-02-08,2018-02-08,,,,,,2019-05-06,2018-03-12,,,,
1181,2019-04-08,,,,,,,2019-05-06,,,,,
1182,2019-11-14,,,,,,,2020-05-06,,,,,
1183,2018-06-08,2018-04-10,,,,,,2019-05-07,2018-04-25,,,,
1184,2019-04-18,,,,,,,2020-05-07,,,,,
1185,2020-09-14,,,,,,,2021-05-07,,,,,
1186,2017-09-29,,,,,,,2018-05-08,,,,,
1187,2019-04-12,2018-06-29,,,,,,2019-05-08,2019-03-26,,,,
1188,2018-07-23,,,,,,,2019-05-08,,,,,
1189,2019-05-21,,,,,,,2020-05-08,,,,,
1190,2018-04-23,,,,,,,2018-05-09,,,,,
1191,2018-04-27,,,,,,,2018-05-09,,,,,
1192,2019-03-08,2018-11-29,,,,,,2019-05-09,2019-02-08,,,,
1193,2019-04-18,,,,,,,2019-05-09,,,,,
1194,2019-05-06,2019-01-28,2018-10-19,2018-06-25,,,,2019-05-09,2019-03-07,2018-12-19,2018-08-01,,
1195,2018-07-19,,,,,,,2019-05-09,,,,,
1196,2018-01-26,,,,,,,2018-05-10,,,,,
1197,2017-10-25,,,,,,,2018-05-10,,,,,
1198,2019-05-09,,,,,,,2019-05-10,,,,,
1199,2019-11-25,2018-07-31,,,,,,2020-05-11,2019-02-26,,,,
1200,2020-10-23,2019-02-20,,,,,,2021-05-11,2020-05-11,,,,
1201,2018-02-28,,,,,,,2020-05-12,,,,,
1202,2020-04-09,,,,,,,2020-05-12,,,,,
1204,2018-04-16,,,,,,,2018-05-14,,,,,
1205,2018-11-27,,,,,,,2019-05-14,,,,,
1206,2018-06-28,2018-06-28,2018-06-28,,,,,2020-05-14,2018-08-22,2018-07-10,,,
